StudID,Year,Class,Session,Credit Hour,Course Code,Total Marks,Grade Pointer Average,Grade,Group
S398,2019,DDT1D,DEC,1,CSA,88,3.3,B+,DISTINCTION
S399,2016,DDT1A,JUNE,1,ICS,73,2,C,PASS
S400,2018,DDT1C,JUNE,2,CSA,46,0,F,FAIL
S401,2018,DDT1C,DEC,2,ICS,83,3,B,DISTINCTION
S402,2018,DDT1D,JUNE,3,CSA,79,2.3,C+,PASS
S403,2017,DDT1B,JUNE,2,CSA,82,2.7,B-,PASS
S404,2017,DDT1B,DEC,1,CSA,87,3.3,B+,DISTINCTION
S405,2016,DDT1A,JUNE,2,CSA,60,0,F,FAIL
S406,2016,DDT1A,JUNE,3,ICS,96,3.8,A,EXCELLENT
S407,2018,DDT1D,DEC,1,ICS,49,0,F,FAIL
S408,2017,DDT1B,DEC,3,CSA,55,0,F,FAIL
S409,2018,DDT1D,DEC,2,ICS,88,3.3,B+,DISTINCTION
S410,2017,DDT1B,JUNE,3,CSA,80,2.7,B-,PASS
S411,2016,DDT1A,JUNE,2,CSA,73,2,C,PASS
S412,2016,DDT1A,JUNE,1,ICS,49,0,F,FAIL
S413,2018,DDT1D,JUNE,3,ICS,52,0,F,FAIL
S414,2019,DDT1D,DEC,1,ICS,42,0,F,FAIL
S415,2019,DDT1C,DEC,3,ICS,43,0,F,FAIL
S416,2018,DDT1D,DEC,3,CSA,39,0,F,FAIL
S417,2017,DDT1B,JUNE,1,ICS,46,0,F,FAIL
S418,2017,DDT1B,DEC,1,CSA,66,1,D,PASS
S419,2016,DDT1A,DEC,2,ICS,70,1.7,C-,PASS
S420,2017,DDT1B,DEC,3,CSA,86,3,B,DISTINCTION
S421,2019,DDT1D,DEC,2,ICS,48,0,F,FAIL
S422,2016,DDT1A,DEC,3,ICS,55,0,F,FAIL
S423,2019,DDT1D,DEC,2,CSA,97,4,A+,EXCEPTIONAL
S424,2019,DDT1D,JUNE,1,CSA,51,0,F,FAIL
S425,2016,DDT1A,JUNE,3,CSA,67,1.3,D+,PASS
S426,2017,DDT1B,JUNE,3,CSA,82,2.7,B-,PASS
S427,2017,DDT1B,JUNE,3,CSA,71,1.7,C-,PASS
S428,2018,DDT1D,JUNE,1,ICS,74,2,C,PASS
S429,2019,DDT1D,JUNE,1,CSA,70,1.7,C-,PASS
S430,2016,DDT1A,DEC,3,ICS,43,0,F,FAIL
S431,2017,DDT1B,DEC,2,ICS,64,1,D,PASS
S432,2016,DDT1A,JUNE,3,CSA,46,0,F,FAIL
S433,2018,DDT1D,DEC,3,ICS,66,1,D,PASS
S434,2019,DDT1C,JUNE,2,CSA,75,2,C,PASS
S435,2018,DDT1D,JUNE,1,CSA,84,3,B,DISTINCTION
S436,2017,DDT1B,DEC,3,CSA,80,2.7,B-,PASS
S437,2019,DDT1C,JUNE,3,ICS,80,2.7,B-,PASS
S438,2018,DDT1C,JUNE,3,CSA,98,4,A+,EXCEPTIONAL
S439,2018,DDT1D,DEC,1,ICS,95,3.8,A,EXCELLENT
S440,2016,DDT1A,DEC,2,CSA,41,0,F,FAIL
S441,2016,DDT1A,JUNE,1,CSA,91,3.7,A-,DISTINCTION
S442,2019,DDT1C,DEC,1,CSA,48,0,F,FAIL
S443,2018,DDT1C,DEC,1,ICS,83,3,B,DISTINCTION
S444,2018,DDT1C,DEC,3,ICS,55,0,F,FAIL
S445,2018,DDT1D,DEC,2,ICS,41,0,F,FAIL
S446,2019,DDT1D,JUNE,2,CSA,63,1,D,PASS
S447,2017,DDT1B,DEC,3,CSA,48,0,F,FAIL
S448,2017,DDT1B,JUNE,2,CSA,48,0,F,FAIL
S449,2019,DDT1C,DEC,3,CSA,46,0,F,FAIL
S450,2018,DDT1D,JUNE,3,ICS,42,0,F,FAIL
S451,2016,DDT1A,DEC,2,ICS,38,0,F,FAIL
S452,2017,DDT1B,JUNE,1,ICS,53,0,F,FAIL
S453,2019,DDT1D,JUNE,2,ICS,65,1,D,PASS
S454,2017,DDT1B,JUNE,2,CSA,91,3.7,A-,DISTINCTION
S455,2016,DDT1A,DEC,3,ICS,81,2.7,B-,PASS
S456,2017,DDT1B,JUNE,2,ICS,91,3.7,A-,DISTINCTION
S457,2016,DDT1A,JUNE,2,ICS,96,3.8,A,EXCELLENT
S458,2016,DDT1A,JUNE,3,CSA,42,0,F,FAIL
S459,2017,DDT1B,DEC,3,CSA,49,0,F,FAIL
S460,2018,DDT1C,DEC,3,CSA,90,3.7,A-,DISTINCTION
S461,2018,DDT1D,JUNE,3,CSA,46,0,F,FAIL
S462,2016,DDT1A,DEC,1,CSA,98,4,A+,EXCEPTIONAL
S463,2018,DDT1D,DEC,3,ICS,71,1.7,C-,PASS
S464,2016,DDT1A,DEC,3,CSA,84,3,B,DISTINCTION
S465,2017,DDT1B,JUNE,2,CSA,74,2,C,PASS
S466,2019,DDT1C,JUNE,3,CSA,73,2,C,PASS
S467,2018,DDT1D,JUNE,3,CSA,59,0,F,FAIL
S468,2016,DDT1A,JUNE,3,CSA,74,2,C,PASS
S469,2018,DDT1D,DEC,2,ICS,98,4,A+,EXCEPTIONAL
S470,2019,DDT1D,DEC,1,ICS,73,2,C,PASS
S471,2017,DDT1B,DEC,2,ICS,40,0,F,FAIL
S472,2018,DDT1D,JUNE,1,ICS,67,1.3,D+,PASS
S473,2016,DDT1A,DEC,1,ICS,42,0,F,FAIL
S474,2019,DDT1D,JUNE,1,ICS,69,1.3,D+,PASS
S475,2017,DDT1B,JUNE,1,CSA,47,0,F,FAIL
S476,2018,DDT1D,JUNE,2,CSA,67,1.3,D+,PASS
S477,2019,DDT1D,JUNE,1,ICS,70,1.7,C-,PASS
S478,2019,DDT1C,JUNE,2,ICS,55,0,F,FAIL
S479,2018,DDT1D,DEC,1,CSA,55,0,F,FAIL
S480,2019,DDT1D,DEC,1,CSA,40,0,F,FAIL
S481,2019,DDT1D,JUNE,1,ICS,63,1,D,PASS
S482,2017,DDT1B,JUNE,1,ICS,70,1.7,C-,PASS
S483,2018,DDT1D,JUNE,2,CSA,46,0,F,FAIL
S484,2019,DDT1C,JUNE,2,CSA,60,0,F,FAIL
S485,2018,DDT1D,JUNE,1,ICS,91,3.7,A-,DISTINCTION
S486,2016,DDT1A,JUNE,2,CSA,88,3.3,B+,DISTINCTION
S487,2016,DDT1A,JUNE,1,ICS,58,0,F,FAIL
S488,2016,DDT1A,DEC,2,CSA,65,1,D,PASS
S489,2016,DDT1A,DEC,3,ICS,61,0,F,FAIL
S490,2017,DDT1B,DEC,2,ICS,57,0,F,FAIL
S491,2018,DDT1C,DEC,2,ICS,91,3.7,A-,DISTINCTION
S492,2018,DDT1C,DEC,2,CSA,95,3.8,A,EXCELLENT
S493,2018,DDT1D,DEC,3,ICS,93,3.8,A,EXCELLENT
S494,2016,DDT1A,DEC,2,ICS,47,0,F,FAIL
S495,2019,DDT1D,JUNE,3,CSA,48,0,F,FAIL
S496,2019,DDT1D,DEC,2,CSA,39,0,F,FAIL
S497,2016,DDT1A,DEC,3,ICS,81,2.7,B-,PASS
S498,2016,DDT1A,JUNE,1,CSA,83,3,B,DISTINCTION
S499,2019,DDT1D,JUNE,1,ICS,45,0,F,FAIL
S500,2019,DDT1C,JUNE,3,CSA,83,3,B,DISTINCTION
S501,2018,DDT1C,JUNE,2,ICS,96,3.8,A,EXCELLENT
S502,2018,DDT1D,JUNE,2,CSA,94,3.8,A,EXCELLENT
S503,2019,DDT1D,JUNE,1,CSA,64,1,D,PASS
S504,2017,DDT1B,JUNE,1,ICS,93,3.8,A,EXCELLENT
S505,2019,DDT1C,JUNE,3,CSA,87,3.3,B+,DISTINCTION
S506,2018,DDT1D,JUNE,2,ICS,98,4,A+,EXCEPTIONAL
S507,2019,DDT1D,JUNE,3,CSA,65,1,D,PASS
S508,2019,DDT1D,JUNE,3,ICS,39,0,F,FAIL
S509,2017,DDT1B,DEC,2,ICS,58,0,F,FAIL
S510,2017,DDT1B,JUNE,1,CSA,87,3.3,B+,DISTINCTION
S511,2016,DDT1A,JUNE,3,ICS,63,1,D,PASS
S512,2017,DDT1B,DEC,3,ICS,59,0,F,FAIL
S513,2019,DDT1D,DEC,3,CSA,98,4,A+,EXCEPTIONAL
S514,2017,DDT1B,DEC,1,ICS,64,1,D,PASS
S515,2016,DDT1A,JUNE,2,ICS,42,0,F,FAIL
S516,2018,DDT1D,DEC,2,CSA,73,2,C,PASS
S517,2019,DDT1D,DEC,1,CSA,97,4,A+,EXCEPTIONAL
S518,2017,DDT1B,JUNE,3,ICS,55,0,F,FAIL
S519,2017,DDT1B,DEC,2,ICS,72,1.7,C-,PASS
S520,2019,DDT1D,JUNE,3,CSA,91,3.7,A-,DISTINCTION
S521,2019,DDT1D,JUNE,1,ICS,67,1.3,D+,PASS
S522,2017,DDT1B,DEC,2,CSA,96,3.8,A,EXCELLENT
S523,2018,DDT1D,DEC,2,CSA,72,1.7,C-,PASS
S524,2019,DDT1D,DEC,1,ICS,91,3.7,A-,DISTINCTION
S525,2019,DDT1C,DEC,3,ICS,44,0,F,FAIL
S526,2018,DDT1D,DEC,2,ICS,80,2.7,B-,PASS
S527,2016,DDT1A,JUNE,2,CSA,86,3,B,DISTINCTION
S528,2016,DDT1A,DEC,1,CSA,43,0,F,FAIL
S529,2018,DDT1D,DEC,1,ICS,55,0,F,FAIL
S530,2016,DDT1A,DEC,2,CSA,80,2.7,B-,PASS
S531,2017,DDT1B,JUNE,2,ICS,97,4,A+,EXCEPTIONAL
S532,2018,DDT1C,DEC,1,CSA,58,0,F,FAIL
S533,2018,DDT1D,DEC,3,CSA,45,0,F,FAIL
S534,2016,DDT1A,DEC,1,ICS,42,0,F,FAIL
S535,2017,DDT1B,JUNE,2,ICS,73,2,C,PASS
S536,2019,DDT1D,JUNE,1,CSA,48,0,F,FAIL
S537,2016,DDT1A,DEC,2,CSA,89,3.3,B+,DISTINCTION
S538,2016,DDT1A,JUNE,3,ICS,42,0,F,FAIL
S539,2016,DDT1A,DEC,1,CSA,40,0,F,FAIL
S540,2016,DDT1A,JUNE,2,ICS,89,3.3,B+,DISTINCTION
S541,2019,DDT1D,JUNE,1,ICS,84,3,B,DISTINCTION
S542,2019,DDT1D,JUNE,3,CSA,38,0,F,FAIL
S543,2016,DDT1A,DEC,1,ICS,51,0,F,FAIL
S544,2017,DDT1B,DEC,3,CSA,83,3,B,DISTINCTION
S545,2016,DDT1A,JUNE,2,CSA,43,0,F,FAIL
S546,2016,DDT1A,DEC,3,CSA,39,0,F,FAIL
S547,2016,DDT1A,DEC,3,ICS,79,2.3,C+,PASS
S548,2019,DDT1C,JUNE,3,CSA,55,0,F,FAIL
S549,2018,DDT1D,JUNE,3,ICS,98,4,A+,EXCEPTIONAL
S550,2019,DDT1D,DEC,1,ICS,59,0,F,FAIL
S551,2016,DDT1A,JUNE,3,CSA,68,1.3,D+,PASS
S552,2016,DDT1A,DEC,3,CSA,73,2,C,PASS
S553,2019,DDT1D,JUNE,2,CSA,82,2.7,B-,PASS
S554,2019,DDT1D,JUNE,1,ICS,49,0,F,FAIL
S555,2017,DDT1B,DEC,1,CSA,41,0,F,FAIL
S556,2018,DDT1C,DEC,1,ICS,84,3,B,DISTINCTION
S557,2018,DDT1C,JUNE,2,ICS,78,2.3,C+,PASS
S558,2018,DDT1D,DEC,3,CSA,96,3.8,A,EXCELLENT
S559,2016,DDT1A,JUNE,1,ICS,60,0,F,FAIL
S560,2016,DDT1A,DEC,3,CSA,76,2,C,PASS
S561,2017,DDT1B,DEC,3,CSA,97,4,A+,EXCEPTIONAL
S562,2019,DDT1D,DEC,3,ICS,95,3.8,A,EXCELLENT
S563,2019,DDT1D,DEC,1,CSA,45,0,F,FAIL
S564,2016,DDT1A,DEC,3,ICS,88,3.3,B+,DISTINCTION
S565,2018,DDT1C,JUNE,3,CSA,41,0,F,FAIL
S566,2018,DDT1D,DEC,3,CSA,64,1,D,PASS
S567,2016,DDT1A,DEC,1,CSA,95,3.8,A,EXCELLENT
S568,2016,DDT1A,DEC,2,ICS,90,3.7,A-,DISTINCTION
S569,2016,DDT1A,DEC,2,CSA,88,3.3,B+,DISTINCTION
S570,2017,DDT1B,JUNE,2,CSA,86,3,B,DISTINCTION
S571,2019,DDT1D,JUNE,2,CSA,83,3,B,DISTINCTION
S572,2016,DDT1A,JUNE,1,ICS,46,0,F,FAIL
S573,2019,DDT1D,JUNE,3,CSA,83,3,B,DISTINCTION
S574,2016,DDT1A,DEC,3,CSA,63,1,D,PASS
S575,2016,DDT1A,DEC,2,ICS,39,0,F,FAIL
S576,2017,DDT1B,DEC,2,ICS,51,0,F,FAIL
S577,2018,DDT1C,DEC,1,CSA,60,0,F,FAIL
S578,2018,DDT1D,JUNE,1,CSA,94,3.8,A,EXCELLENT
S579,2019,DDT1D,DEC,1,CSA,72,1.7,C-,PASS
S580,2016,DDT1A,DEC,1,ICS,59,0,F,FAIL
S581,2017,DDT1B,JUNE,2,CSA,75,2,C,PASS
S582,2016,DDT1A,JUNE,2,CSA,57,0,F,FAIL
S583,2018,DDT1C,JUNE,1,CSA,74,2,C,PASS
S584,2018,DDT1D,DEC,1,CSA,63,1,D,PASS
S585,2016,DDT1A,DEC,2,CSA,61,0,F,FAIL
S586,2016,DDT1A,DEC,1,CSA,49,0,F,FAIL
S587,2017,DDT1B,DEC,1,CSA,54,0,F,FAIL
S588,2016,DDT1A,DEC,3,ICS,91,3.7,A-,DISTINCTION
S589,2017,DDT1B,JUNE,3,CSA,73,2,C,PASS
S590,2019,DDT1C,DEC,2,CSA,43,0,F,FAIL
S591,2018,DDT1D,JUNE,2,ICS,75,2,C,PASS
S592,2017,DDT1B,DEC,3,ICS,84,3,B,DISTINCTION
S593,2018,DDT1C,DEC,3,ICS,76,2,C,PASS
S594,2018,DDT1D,DEC,2,CSA,52,0,F,FAIL
S595,2016,DDT1A,JUNE,3,ICS,82,2.7,B-,PASS
S596,2018,DDT1D,JUNE,2,CSA,86,3,B,DISTINCTION
S597,2019,DDT1D,JUNE,3,ICS,70,1.7,C-,PASS
S598,2016,DDT1A,DEC,1,ICS,43,0,F,FAIL
S599,2019,DDT1D,DEC,3,CSA,60,0,F,FAIL
S600,2017,DDT1B,JUNE,3,CSA,93,3.8,A,EXCELLENT
S601,2018,DDT1D,JUNE,3,ICS,94,3.8,A,EXCELLENT
S602,2016,DDT1A,DEC,2,CSA,84,3,B,DISTINCTION
S603,2019,DDT1D,JUNE,1,ICS,42,0,F,FAIL
S604,2017,DDT1B,JUNE,1,CSA,46,0,F,FAIL
S605,2019,DDT1D,DEC,2,CSA,65,1,D,PASS
S606,2017,DDT1B,JUNE,3,CSA,82,2.7,B-,PASS
S607,2018,DDT1D,JUNE,2,CSA,43,0,F,FAIL
S608,2016,DDT1A,JUNE,2,ICS,60,0,F,FAIL
S609,2017,DDT1B,DEC,2,ICS,41,0,F,FAIL
S610,2019,DDT1D,DEC,3,ICS,55,0,F,FAIL
S611,2017,DDT1B,JUNE,2,ICS,56,0,F,FAIL
S612,2018,DDT1D,JUNE,3,CSA,58,0,F,FAIL
S613,2017,DDT1B,JUNE,2,ICS,38,0,F,FAIL
S614,2018,DDT1D,DEC,1,CSA,40,0,F,FAIL
S615,2016,DDT1A,DEC,1,CSA,77,2.3,C+,PASS
S616,2016,DDT1A,JUNE,2,ICS,73,2,C,PASS
S617,2018,DDT1D,JUNE,2,CSA,75,2,C,PASS
S618,2016,DDT1A,JUNE,1,CSA,80,2.7,B-,PASS
S619,2016,DDT1A,DEC,1,ICS,53,0,F,FAIL
S620,2019,DDT1D,JUNE,3,ICS,40,0,F,FAIL
S621,2016,DDT1A,DEC,3,CSA,78,2.3,C+,PASS
S622,2019,DDT1D,DEC,2,CSA,75,2,C,PASS
S623,2016,DDT1A,DEC,3,ICS,97,4,A+,EXCEPTIONAL
S624,2018,DDT1D,DEC,1,CSA,75,2,C,PASS
S625,2017,DDT1B,JUNE,2,CSA,98,4,A+,EXCEPTIONAL
S626,2017,DDT1B,JUNE,1,CSA,89,3.3,B+,DISTINCTION
S627,2018,DDT1D,JUNE,2,CSA,84,3,B,DISTINCTION
S628,2017,DDT1B,DEC,2,CSA,54,0,F,FAIL
S629,2017,DDT1B,DEC,1,CSA,61,0,F,FAIL
S630,2019,DDT1D,JUNE,2,ICS,76,2,C,PASS
S631,2016,DDT1A,JUNE,1,CSA,86,3,B,DISTINCTION
S632,2017,DDT1B,DEC,1,ICS,79,2.3,C+,PASS
